,Species,Weight,Length1,Length2,Length3,Height,Width,Female
52,Roach,290.0,24.0,26.0,29.2,8.8768,4.4968,1
53,Roach,272.0,25.0,27.0,30.6,8.568,4.7736,0
54,Roach,390.0,29.5,31.7,35.0,9.485,5.355,0
55,Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476,1
56,Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485,0
57,Whitefish,306.0,25.6,28.0,30.8,8.777999999999999,4.6816,0
58,Whitefish,540.0,28.5,31.0,34.0,10.744000000000002,6.562,1
59,Whitefish,800.0,33.7,36.4,39.6,11.7612,6.5736,0
60,Whitefish,1000.0,37.3,40.0,43.5,12.354000000000001,6.525,1
61,Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265,0
62,Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142,0
63,Parkki,90.0,16.3,17.7,19.8,7.4052,2.673,0
64,Parkki,120.0,17.5,19.0,21.3,8.3922,2.9181,0
65,Parkki,150.0,18.4,20.0,22.4,8.8928,3.2928,1
66,Parkki,140.0,19.0,20.7,23.2,8.5376,3.2944,0
67,Parkki,170.0,19.0,20.7,23.2,9.396,3.4104,1
68,Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571,0
69,Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636,0
70,Parkki,273.0,23.0,25.0,28.0,11.088,4.144,1
71,Parkki,300.0,24.0,26.0,29.0,11.368,4.234,1
72,Perch,5.9,7.5,8.4,8.8,2.112,1.4080000000000001,1
73,Perch,32.0,12.5,13.7,14.7,3.528,1.9992,0
74,Perch,40.0,13.8,15.0,16.0,3.824,2.432,0
75,Perch,51.5,15.0,16.2,17.2,4.5924,2.6316,1
76,Perch,-7000.0,15.7,17.4,18.5,4.588,2.9415,0
77,Perch,100.0,16.2,18.0,19.2,5.2224,3.3216,1
78,Perch,78.0,16.8,18.7,19.4,5.1992,3.1234,0
79,Perch,80.0,17.2,19.0,20.2,5.6358,3.0502,1
80,Perch,85.0,17.8,19.6,20.8,5.1376,3.0368,0
81,Perch,85.0,18.2,20.0,21.0,5.082,2.772,0
82,Perch,110.0,19.0,21.0,22.5,5.6925,3.555,1
83,Perch,11005.0,19.0,21.0,22.5,5.9175,3.3075,0
84,Perch,125.0,19.0,21.0,22.5,5.6925,3.6675,1
85,Perch,130.0,19.3,21.3,22.8,6.3839999999999995,3.534,0
86,Perch,120.0,20.0,22.0,23.5,6.11,3.4075,1
87,Perch,120.0,20.0,22.0,23.5,5.64,3.525,1
88,Perch,130.0,20.0,22.0,23.5,6.11,3.525,1
89,Perch,135.0,20.0,22.0,23.5,5.875,3.525,1
90,Perch,110.0,20.0,22.0,23.5,5.5225,3.995,0
91,Perch,130.0,20.5,22.5,24.0,5.856,3.6239999999999997,1
92,Perch,150.0,20.5,22.5,24.0,6.792000000000001,3.6239999999999997,1
93,Perch,145.0,20.7,22.7,24.2,5.9532,3.63,0
94,Perch,150.0,21.0,23.0,24.5,5.2185,3.6260000000000003,0
95,Perch,170.0,21.5,23.5,25.0,6.275,3.725,0
96,Perch,225.0,22.0,24.0,25.5,7.292999999999999,3.7230000000000003,1
97,Perch,145.0,22.0,24.0,25.5,6.375,3.825,1
98,Perch,188.0,22.6,24.6,26.2,6.7334,4.1658,1
99,Perch,180.0,23.0,25.0,26.5,6.4395,3.6835,1
100,Perch,197.0,23.5,25.6,27.0,6.561,4.239,0
101,Perch,218.0,25.0,26.5,28.0,7.167999999999999,4.144,0
102,Perch,300.0,25.2,27.3,28.7,8.323,5.1373,0
103,Perch,260.0,25.4,27.5,28.9,7.1672,4.335,0
104,Perch,265.0,25.4,27.5,28.9,7.0516,4.335,0
105,Perch,250.0,25.4,2700.5,28.9,7.2828,4.5662,0
106,Perch,250.0,25.9,28.0,29.4,7.8204,4.2042,1
107,Perch,300.0,26.9,28.7,30.1,7.5852,4.6354,1
108,Perch,320.0,27.8,30.0,31.6,7.6156,4.7716,1
109,Perch,514.0,30.5,32.8,34.0,10.03,6.018,1
110,Perch,556.0,32.0,34.5,36.5,10.2565,6.3875,0
111,Perch,840.0,32.5,35.0,37.3,11.4884,7.7957,1
112,Perch,685.0,34.0,36.5,39.0,10.880999999999998,6.864,0
113,Perch,700.0,34.0,36.0,38.3,10.6091,6.7408,0
114,Perch,700.0,34.5,37.0,39.4,10.835,6.2646,1
115,Perch,690.0,34.6,37.0,39.3,10.5717,6.3666,0
116,Perch,900.0,36.5,39.0,41.4,11.1366,7.4934,1
117,Perch,650.0,36.5,39.0,41.4,11.1366,6.002999999999999,1
118,Perch,820.0,36.6,39.0,41.3,12.4313,7.3514,0
119,Perch,850.0,36.9,40.0,42.3,11.9286,7.1064,0
120,Perch,900.0,37.0,40.0,42.5,11.73,7.225,1
121,Perch,1015.0,37.0,40.0,42.4,12.3808,7.4624,1
122,Perch,820.0,37.1,40.0,42.5,11.135,6.63,0
123,Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684,1
124,Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772,1
125,Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165,1
126,Perch,1000.0,40.2,43.5,46.0,12.604000000000001,8.142000000000001,1
127,Perch,1000.0,41.1,44.0,46.6,12.4888,7.5958,1
128,Pike,200.0,30.0,32.3,34.8,5.568,3.3756,0
129,Pike,300.0,31.7,34.0,37.8,5.7078,4.158,1
130,Pike,300.0,32.7,35.0,38.8,5.9364,4.3844,1
131,Pike,300.0,34.8,37.3,39.8,6.2884,4.0198,0
132,Pike,430.0,35.5,38.0,40.5,7.29,4.5765,0
133,Pike,345.0,36.0,38.5,41.0,6.396,3.977,0
134,Pike,456.0,40.0,42.5,45.5,7.28,4.3225,0
135,Pike,510.0,40.0,42.5,45.5,6.825,4.459,1
136,Pike,540.0,40.1,43.0,45.8,7.7860000000000005,5.1296,0
137,Pike,500.0,42.0,45.0,48.0,6.96,4.896,1
138,Pike,567.0,43.2,46.0,48.7,7.792000000000001,4.87,1
139,Pike,770.0,44.8,48.0,51.2,7.68,5.376,1
140,Pike,950.0,48.3,51.7,55.1,8.9262,6.1712,0
141,Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849,1
142,Pike,1600.0,56.0,60.0,64.0,9.6,6.144,0
143,Pike,1550.0,56.0,60.0,64.0,9.6,6.144,0
144,Pike,1650.0,59.0,63.4,68.0,10.812000000000001,7.48,1
145,Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,0
146,Smelt,7.5,10.0,10.5,11.6,1.972,1.16,1
147,Smelt,7.0,10.1,10.6,11.6,1.7284,1.1484,0
148,Smelt,9.7,10.4,11.0,12.0,2.1959999999999997,1.38,1
149,Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,1
150,Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,0
151,Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838,1
152,Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,1
153,Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,1
154,Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936,1
155,Smelt,13.4,11.7,12.4,13.5,2.43,1.2690000000000001,0
156,Smelt,12.2,12.1,13.0,13.8,2.2769999999999997,1.2558,1
157,Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,0
158,Smelt,19.9,13.8,15.0,16.2,2.9322,1.8792,0
159,Pike,1600.0,56.0,60.0,64.0,9.6,6.144,0
160,Pike,1550.0,56.0,60.0,64.0,9.6,6.144,0
161,Pike,1650.0,59.0,63.4,68.0,10.812000000000001,7.48,1
162,Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,0
163, Smelt,7.5,10.0,10.5,11.6,1.972,1.16,1
165,Smelt,7.0,10.1,10.6,11.6,1.7284,1.1484,0
166,Smelt,9.7,10.4,11.0,12.0,2.1959999999999997,1.38,1
167,Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,1
169,Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,0
170,Pike,1000.0,11.3,11.8,64.0,9.6,6.144,0
171,Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,1
172,Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,1
173,Parkki,120.20,110.5,12.2,130.04,2.0904,12.3936,1
174,Smelt,13.4,11.7,12.4,13.5,2.43,1.2690000000000001,0
175,Perch,1200.2,12.1,13.0,13.8,2.2769999999999997,1.2558,1
176,Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,0
177,Whitefish,19.9,13.8,15.0,16.2,2.9322,1.8792,0
