MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,PoolArea,SaleCondition,SalePrice
20,RL,11200,Pave,Reg,Lvl,AllPub,Sawyer,1Story,5,5,1965,1965,Hip,CompShg,TA,CBlock,1040,GasA,Ex,Y,SBrkr,1040,0,3,1,0,Normal,129500
60,RL,11924,Pave,IR1,Lvl,AllPub,NridgHt,2Story,9,5,2005,2006,Hip,CompShg,Ex,PConc,1175,GasA,Ex,Y,SBrkr,1182,1142,4,1,0,Partial,345000
20,RL,12968,Pave,IR2,Lvl,AllPub,Sawyer,1Story,5,6,1962,1962,Hip,CompShg,TA,CBlock,912,GasA,TA,Y,SBrkr,912,0,2,1,0,Normal,144000
20,RL,10652,Pave,IR1,Lvl,AllPub,CollgCr,1Story,7,5,2006,2007,Gable,CompShg,Gd,PConc,1494,GasA,Ex,Y,SBrkr,1494,0,3,1,0,Partial,279500
20,RL,10920,Pave,IR1,Lvl,AllPub,NAmes,1Story,6,5,1960,1960,Hip,CompShg,TA,CBlock,1253,GasA,TA,Y,SBrkr,1253,0,2,1,0,Normal,157000
45,RM,6120,Pave,Reg,Lvl,AllPub,BrkSide,1.5Unf,7,8,1929,2001,Gable,CompShg,TA,BrkTil,832,GasA,Ex,Y,FuseA,854,0,2,1,0,Normal,132000
20,RL,11241,Pave,IR1,Lvl,AllPub,NAmes,1Story,6,7,1970,1970,Gable,CompShg,TA,CBlock,1004,GasA,Ex,Y,SBrkr,1004,0,2,1,0,Normal,149000
90,RL,10791,Pave,Reg,Lvl,AllPub,Sawyer,1Story,4,5,1967,1967,Gable,CompShg,TA,Slab,0,GasA,TA,Y,SBrkr,1296,0,2,2,0,Normal,90000
20,RL,13695,Pave,Reg,Lvl,AllPub,SawyerW,1Story,5,5,2004,2004,Gable,CompShg,TA,PConc,1114,GasA,Ex,Y,SBrkr,1114,0,3,1,0,Normal,159000
20,RL,7560,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,6,1958,1965,Hip,CompShg,TA,CBlock,1029,GasA,TA,Y,SBrkr,1339,0,3,1,0,Abnorml,139000
60,RL,14215,Pave,IR1,Lvl,AllPub,NridgHt,2Story,8,5,2005,2006,Gable,CompShg,Gd,PConc,1158,GasA,Ex,Y,SBrkr,1158,1218,4,1,0,Partial,325300
45,RM,7449,Pave,Reg,Bnk,AllPub,IDOTRR,1.5Unf,7,7,1930,1950,Gable,CompShg,TA,PConc,637,GasA,Ex,Y,FuseF,1108,0,3,1,0,Normal,139400
20,RL,9742,Pave,Reg,Lvl,AllPub,CollgCr,1Story,8,5,2002,2002,Hip,CompShg,Gd,PConc,1777,GasA,Ex,Y,SBrkr,1795,0,3,1,0,Normal,230000
120,RM,4224,Pave,Reg,Lvl,AllPub,MeadowV,1Story,5,7,1976,1976,Gable,CompShg,TA,PConc,1040,GasA,TA,Y,SBrkr,1060,0,3,1,0,Normal,129900
20,RL,8246,Pave,IR1,Lvl,AllPub,Sawyer,1Story,5,8,1968,2001,Gable,CompShg,TA,CBlock,1060,GasA,Ex,Y,SBrkr,1060,0,3,1,0,Normal,154000
20,RL,14230,Pave,Reg,Lvl,AllPub,NridgHt,1Story,8,5,2007,2007,Gable,CompShg,Gd,PConc,1566,GasA,Ex,Y,SBrkr,1600,0,3,1,0,Normal,256300
20,RL,7200,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,7,1951,2000,Gable,CompShg,TA,CBlock,900,GasA,TA,Y,SBrkr,900,0,3,1,0,Normal,134800
20,RL,11478,Pave,Reg,Lvl,AllPub,NridgHt,1Story,8,5,2007,2008,Gable,CompShg,Gd,PConc,1704,GasA,Ex,Y,SBrkr,1704,0,3,1,0,Normal,306000
20,RL,16321,Pave,IR1,Lvl,AllPub,NAmes,1Story,5,6,1957,1997,Gable,CompShg,TA,CBlock,1484,GasA,TA,Y,SBrkr,1600,0,2,1,0,Normal,207500
30,RM,6324,Pave,IR1,Lvl,AllPub,BrkSide,1Story,4,6,1927,1950,Gable,CompShg,TA,BrkTil,520,GasA,Fa,N,SBrkr,520,0,1,1,0,Normal,68500
70,C (all),8500,Pave,Reg,Lvl,AllPub,IDOTRR,2Story,4,4,1920,1950,Gambrel,CompShg,TA,BrkTil,649,GasA,TA,N,SBrkr,649,668,3,1,0,Normal,40000
20,RL,8544,Pave,IR1,Lvl,AllPub,Sawyer,1Story,5,6,1966,2006,Gable,CompShg,TA,CBlock,1228,GasA,Gd,Y,SBrkr,1228,0,3,1,0,Normal,149350
20,RL,11049,Pave,Reg,Lvl,AllPub,CollgCr,1Story,8,5,2007,2007,Gable,CompShg,Gd,PConc,1234,GasA,Ex,Y,SBrkr,1234,0,3,1,0,Normal,179900
20,RL,10552,Pave,IR1,Lvl,AllPub,NAmes,1Story,5,5,1959,1959,Hip,CompShg,TA,CBlock,1398,GasA,Gd,Y,SBrkr,1700,0,4,1,0,Normal,165500
120,RL,7313,Pave,Reg,Lvl,AllPub,NridgHt,1Story,9,5,2005,2005,Hip,CompShg,Ex,PConc,1561,GasA,Ex,Y,SBrkr,1561,0,2,1,0,Normal,277500
60,RL,13418,Pave,Reg,Lvl,AllPub,NridgHt,2Story,8,5,2004,2005,Gable,CompShg,Gd,PConc,1117,GasA,Ex,Y,SBrkr,1132,1320,4,1,0,Normal,309000
20,RL,10859,Pave,Reg,Lvl,AllPub,CollgCr,1Story,5,5,1994,1995,Gable,CompShg,TA,PConc,1097,GasA,Ex,Y,SBrkr,1097,0,3,1,0,Normal,145000
20,RL,8532,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,6,1954,1990,Hip,CompShg,TA,CBlock,1297,GasA,Gd,Y,SBrkr,1297,0,3,1,0,Normal,153000
20,RL,7922,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,7,1953,2007,Gable,CompShg,TA,CBlock,1057,GasA,TA,Y,SBrkr,1057,0,3,1,0,Abnorml,109000
90,RL,6040,Pave,Reg,Lvl,AllPub,Edwards,1Story,4,5,1955,1955,Gable,CompShg,TA,PConc,0,GasA,TA,N,FuseP,1152,0,2,2,0,AdjLand,82000
20,RL,8658,Pave,Reg,Lvl,AllPub,NAmes,1Story,6,5,1965,1965,Gable,CompShg,TA,CBlock,1088,GasA,Ex,Y,SBrkr,1324,0,3,1,0,Abnorml,160000
20,RL,16905,Pave,Reg,Lvl,AllPub,Timber,1Story,5,6,1959,1959,Gable,CompShg,TA,CBlock,1350,GasA,Gd,Y,SBrkr,1328,0,2,1,0,Normal,170000
85,RL,9180,Pave,IR1,Lvl,AllPub,SawyerW,SFoyer,5,7,1983,1983,Gable,CompShg,TA,CBlock,840,GasA,Gd,Y,SBrkr,884,0,2,1,0,Normal,144000
20,RL,9200,Pave,IR1,Lvl,AllPub,CollgCr,1Story,5,6,1975,1980,Hip,CompShg,TA,CBlock,938,GasA,TA,Y,SBrkr,938,0,3,1,0,Normal,130250
20,RL,7945,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,6,1959,1959,Gable,CompShg,TA,CBlock,1150,GasA,Ex,Y,FuseA,1150,0,3,1,0,Normal,141000
120,RL,7658,Pave,Reg,Lvl,AllPub,NridgHt,1Story,9,5,2005,2005,Hip,CompShg,Ex,PConc,1752,GasA,Ex,Y,SBrkr,1752,0,2,1,0,Normal,319900
50,RL,12822,Pave,IR1,Lvl,AllPub,Mitchel,1.5Fin,7,5,2003,2003,Gable,CompShg,Gd,PConc,1434,GasA,Ex,Y,SBrkr,1518,631,1,1,0,Abnorml,239686
20,FV,11096,Pave,Reg,Lvl,AllPub,Somerst,1Story,8,5,2006,2006,Gable,CompShg,Gd,PConc,1656,GasA,Ex,Y,SBrkr,1656,0,3,1,0,Normal,249700
190,RM,4456,Pave,Reg,Lvl,AllPub,OldTown,2Story,4,5,1920,2008,Gable,CompShg,TA,BrkTil,736,GasA,Gd,Y,SBrkr,736,716,2,3,0,Partial,113000
20,RL,7742,Pave,Reg,Lvl,AllPub,Sawyer,1Story,5,7,1966,1966,Gable,CompShg,TA,CBlock,955,GasA,Ex,Y,SBrkr,955,0,3,1,0,Normal,127000
60,RL,13869,Pave,IR2,Lvl,AllPub,Gilbert,2Story,6,6,1997,1997,Gable,CompShg,TA,PConc,794,GasA,Gd,Y,SBrkr,794,676,3,1,0,Normal,177000
50,RM,6240,Pave,Reg,Lvl,AllPub,BrkSide,1.5Fin,6,6,1934,1950,Gable,CompShg,TA,PConc,816,GasA,TA,Y,SBrkr,816,0,3,1,0,Normal,114500
90,RM,8472,Grvl,IR2,Bnk,AllPub,IDOTRR,1Story,5,5,1963,1963,Gable,CompShg,Fa,CBlock,816,GasA,TA,N,SBrkr,816,0,2,1,0,Normal,110000
20,RL,50271,Pave,IR1,Low,AllPub,Veenker,1Story,9,5,1981,1987,Gable,WdShngl,Gd,CBlock,1842,GasA,Gd,Y,SBrkr,1842,0,0,1,0,Normal,385000
80,RL,7134,Pave,Reg,Bnk,AllPub,NAmes,SLvl,5,5,1955,1955,Gable,CompShg,TA,CBlock,384,GasA,TA,Y,SBrkr,1360,0,3,1,0,Normal,130000
20,RL,10175,Pave,IR1,Lvl,AllPub,NAmes,1Story,6,5,1964,1964,Gable,CompShg,TA,CBlock,1425,GasA,Gd,Y,SBrkr,1425,0,3,1,0,Normal,180500
160,FV,2645,Pave,Reg,Lvl,AllPub,Somerst,2Story,8,5,1999,2000,Gable,CompShg,Gd,PConc,970,GasA,Ex,Y,SBrkr,983,756,3,1,0,Abnorml,172500
60,RL,11645,Pave,IR1,Lvl,AllPub,CollgCr,2Story,7,5,2004,2004,Gable,CompShg,Gd,PConc,860,GasA,Ex,Y,SBrkr,860,860,3,1,0,Normal,196500
60,RL,13682,Pave,IR2,HLS,AllPub,StoneBr,2Story,10,5,2006,2006,Hip,CompShg,Ex,PConc,1410,GasA,Ex,Y,SBrkr,1426,1519,3,1,0,Partial,438780
20,RL,7200,Pave,Reg,Bnk,AllPub,CollgCr,1Story,5,7,1972,1972,Gable,CompShg,TA,CBlock,780,GasA,Ex,Y,SBrkr,780,0,2,1,0,Normal,124900
20,RL,13072,Pave,Reg,Lvl,AllPub,SawyerW,1Story,6,5,2004,2004,Gable,CompShg,TA,PConc,1158,GasA,Ex,Y,SBrkr,1158,0,3,1,0,Partial,158000
75,RM,7200,Pave,Reg,Lvl,AllPub,IDOTRR,2.5Unf,5,7,1920,1996,Gable,CompShg,TA,BrkTil,530,GasA,TA,N,SBrkr,581,530,3,1,0,Normal,101000
120,RL,6442,Pave,IR1,Lvl,AllPub,NridgHt,1Story,8,5,2006,2006,Gable,CompShg,Gd,PConc,1370,GasA,Ex,Y,SBrkr,1370,0,2,1,0,Normal,202500
70,RM,10300,Pave,IR1,Bnk,AllPub,OldTown,2Story,7,6,1921,1950,Gable,CompShg,TA,BrkTil,576,GasA,Gd,Y,SBrkr,902,808,3,1,0,Normal,140000
60,RL,9375,Pave,Reg,Lvl,AllPub,CollgCr,2Story,7,5,1997,1998,Gable,CompShg,TA,PConc,1057,GasA,Ex,Y,SBrkr,1057,977,3,1,0,Normal,219500
60,RL,9591,Pave,Reg,Lvl,AllPub,NridgHt,2Story,8,5,2004,2005,Gable,CompShg,Gd,PConc,1143,GasA,Ex,Y,SBrkr,1143,1330,4,1,0,Normal,317000
20,RL,19900,Pave,Reg,Lvl,AllPub,NAmes,1Story,7,5,1970,1989,Gable,CompShg,TA,CBlock,1947,GasA,TA,Y,SBrkr,2207,0,3,1,0,Normal,180000
20,RL,10665,Pave,IR1,Lvl,AllPub,CollgCr,1Story,7,5,2003,2003,Gable,CompShg,Gd,PConc,1453,GasA,Ex,Y,SBrkr,1479,0,3,1,0,Normal,226000
30,RM,4608,Pave,Reg,Lvl,AllPub,OldTown,1Story,4,6,1945,1950,Gable,CompShg,TA,CBlock,747,GasA,TA,Y,SBrkr,747,0,2,1,0,Normal,80000
50,RL,15593,Pave,Reg,Lvl,AllPub,ClearCr,1.5Fin,7,4,1953,1953,Gable,CompShg,Gd,CBlock,1304,GasW,TA,Y,SBrkr,1304,983,3,1,0,Normal,225000
20,RL,13651,Pave,IR1,Lvl,AllPub,NAmes,1Story,7,6,1973,1973,Gable,CompShg,TA,CBlock,2223,GasA,Ex,Y,SBrkr,2223,0,3,1,0,Normal,244000
20,RL,7599,Pave,Reg,Lvl,AllPub,Mitchel,1Story,4,6,1982,2006,Gable,CompShg,TA,CBlock,845,GasA,TA,Y,SBrkr,845,0,2,1,0,Normal,129500
60,RL,10141,Pave,IR1,Lvl,AllPub,Gilbert,2Story,7,5,1998,1998,Gable,CompShg,TA,PConc,832,GasA,Gd,Y,SBrkr,885,833,3,1,0,Normal,185000
20,RL,10200,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,7,1954,2003,Gable,CompShg,TA,CBlock,1086,GasA,Gd,Y,SBrkr,1086,0,3,1,0,Normal,144900
50,RM,5790,Pave,Reg,Lvl,AllPub,OldTown,2Story,3,6,1915,1950,Gambrel,CompShg,Gd,CBlock,840,GasA,Gd,N,SBrkr,840,765,3,2,0,Normal,107400
180,RM,1596,Pave,Reg,Lvl,AllPub,MeadowV,SLvl,4,5,1973,1973,Gable,CompShg,TA,CBlock,462,GasA,TA,Y,SBrkr,526,462,2,1,0,Normal,91000
20,RL,8475,Pave,IR1,Lvl,AllPub,NAmes,1Story,4,7,1956,1956,Gable,CompShg,TA,CBlock,952,GasA,Ex,Y,FuseA,952,0,2,1,0,Normal,135750
50,RM,8635,Pave,Reg,Lvl,AllPub,BrkSide,1.5Fin,5,5,1948,2001,Gable,CompShg,TA,CBlock,672,GasA,TA,Y,SBrkr,1072,213,2,1,0,Normal,127000
90,RL,10778,Pave,Reg,Lvl,AllPub,Sawyer,1Story,4,5,1968,1968,Hip,CompShg,TA,CBlock,1768,GasA,TA,N,SBrkr,1768,0,4,2,0,Normal,136500
50,RM,10440,Pave,Reg,Lvl,AllPub,OldTown,2Story,5,6,1910,1981,Gable,CompShg,TA,PConc,440,GasA,Gd,Y,SBrkr,682,548,2,1,0,Normal,110000
60,RL,13000,Pave,Reg,Lvl,AllPub,NAmes,2Story,6,6,1968,1968,Gable,CompShg,TA,CBlock,896,GasA,TA,Y,SBrkr,1182,960,4,1,0,Normal,193500
120,RM,4500,Pave,Reg,Lvl,AllPub,Mitchel,1Story,6,5,1998,1998,Hip,CompShg,TA,PConc,1237,GasA,Ex,Y,SBrkr,1337,0,2,1,0,Normal,153500
20,RL,10206,Pave,Reg,Lvl,AllPub,Somerst,1Story,8,5,2007,2007,Gable,CompShg,TA,PConc,1563,GasA,Ex,Y,SBrkr,1563,0,3,1,0,Normal,245000
20,RL,8892,Pave,IR1,Lvl,AllPub,NAmes,1Story,5,5,1960,1960,Gable,CompShg,TA,CBlock,1065,GasA,Gd,Y,SBrkr,1065,0,3,1,0,Normal,126500
80,RL,8530,Pave,IR1,Lvl,AllPub,Gilbert,SLvl,7,5,1995,1996,Gable,CompShg,TA,PConc,384,GasA,Gd,Y,SBrkr,804,670,3,1,0,Normal,168500
60,RL,16059,Pave,Reg,Lvl,AllPub,NoRidge,2Story,8,5,1991,1992,Hip,CompShg,Gd,CBlock,1288,GasA,Ex,Y,SBrkr,1301,1116,4,1,0,Normal,260000
60,RL,11911,Pave,IR2,Lvl,AllPub,Gilbert,2Story,6,5,2005,2005,Gable,CompShg,Gd,PConc,684,GasA,Ex,Y,SBrkr,684,876,3,1,0,Normal,174000
160,FV,3951,Pave,Reg,Lvl,AllPub,Somerst,2Story,6,5,2009,2009,Gable,CompShg,Gd,PConc,612,GasA,Ex,Y,SBrkr,612,612,2,1,0,Partial,164500
50,C (all),8470,Pave,IR1,Lvl,AllPub,IDOTRR,1.5Fin,3,2,1915,1982,Hip,CompShg,Fa,CBlock,1013,GasA,TA,N,SBrkr,1013,0,2,1,0,Abnorml,85000
20,RL,8070,Pave,Reg,Lvl,AllPub,CollgCr,1Story,4,5,1994,1995,Gable,CompShg,TA,PConc,990,GasA,Ex,Y,SBrkr,990,0,3,1,0,Normal,123600
20,RL,7200,Pave,Reg,Lvl,AllPub,NAmes,1Story,4,5,1950,1950,Gable,CompShg,TA,Slab,0,GasA,TA,Y,FuseA,1040,0,2,1,0,Normal,109900
20,RL,8500,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,3,1961,1961,Hip,CompShg,TA,CBlock,1235,GasA,TA,Y,SBrkr,1235,0,2,1,0,Abnorml,98600
30,RL,13360,Pave,IR1,HLS,AllPub,Crawfor,1Story,5,7,1921,2006,Gable,CompShg,TA,BrkTil,876,GasA,Ex,Y,SBrkr,964,0,2,1,0,Normal,163500
190,C (all),7200,Pave,Reg,Lvl,AllPub,OldTown,2.5Unf,6,6,1910,1998,Hip,CompShg,TA,BrkTil,1214,GasW,Ex,N,SBrkr,1260,1031,4,2,0,Normal,133900
60,RL,9337,Pave,IR1,Lvl,AllPub,CollgCr,2Story,6,5,1997,1997,Gable,CompShg,TA,PConc,824,GasA,Ex,Y,SBrkr,905,881,3,1,0,Normal,204750
60,RL,9765,Pave,IR2,Lvl,AllPub,Gilbert,2Story,6,8,1993,1993,Gable,CompShg,Ex,PConc,680,GasA,Gd,Y,SBrkr,680,790,3,1,0,Normal,185000
20,RL,10264,Pave,IR1,Lvl,AllPub,CollgCr,1Story,7,5,1999,1999,Gable,CompShg,Gd,PConc,1588,GasA,Ex,Y,SBrkr,1588,0,3,1,0,Normal,214000
20,RL,10921,Pave,Reg,HLS,AllPub,Edwards,1Story,4,5,1965,1965,Hip,CompShg,TA,CBlock,960,GasA,TA,Y,FuseF,960,0,3,1,0,Normal,94750
30,RL,10625,Pave,Reg,Lvl,AllPub,Edwards,1Story,5,5,1920,1950,Gable,CompShg,TA,BrkTil,458,GasA,Fa,N,SBrkr,835,0,2,1,0,Abnorml,83000
20,RL,9320,Pave,IR1,Lvl,AllPub,NAmes,1Story,4,5,1959,1959,Gable,CompShg,TA,CBlock,950,GasA,Fa,Y,SBrkr,1225,0,3,1,0,Normal,128950
20,RL,10603,Pave,IR1,Lvl,AllPub,NWAmes,1Story,6,7,1977,2001,Gable,CompShg,TA,PConc,1610,GasA,Gd,Y,SBrkr,1610,0,3,1,0,Normal,205000
60,RL,9206,Pave,Reg,Lvl,AllPub,SawyerW,2Story,6,5,1985,1985,Gable,CompShg,Gd,CBlock,741,GasA,TA,Y,SBrkr,977,755,3,1,0,Normal,178000
90,RL,7018,Pave,Reg,Bnk,AllPub,SawyerW,1Story,5,5,1979,1979,Gable,CompShg,TA,Slab,0,GasA,TA,Y,SBrkr,1535,0,4,2,0,Alloca,118964
20,RL,10402,Pave,IR1,Lvl,AllPub,CollgCr,1Story,7,5,2009,2009,Gable,CompShg,TA,PConc,1226,GasA,Ex,Y,SBrkr,1226,0,3,1,0,Normal,198900
50,RM,7758,Pave,Reg,Lvl,AllPub,IDOTRR,1.5Fin,7,4,1931,1950,Gable,CompShg,TA,PConc,1040,GasA,Ex,Y,FuseF,1226,592,4,1,0,Normal,169500
60,FV,9375,Pave,Reg,Lvl,AllPub,Somerst,2Story,8,5,2003,2004,Hip,CompShg,Gd,PConc,1053,GasA,Ex,Y,SBrkr,1053,939,3,1,0,Normal,250000
30,RM,10800,Pave,Reg,Lvl,AllPub,OldTown,1Story,4,7,1885,1995,Mansard,CompShg,TA,BrkTil,641,GasA,Gd,Y,SBrkr,1047,0,2,1,0,Normal,100000
20,RM,6000,Pave,Reg,Lvl,AllPub,OldTown,1Story,5,5,1948,1950,Gable,CompShg,TA,CBlock,789,GasA,Ex,Y,SBrkr,789,0,2,1,0,Partial,115000
50,RM,8500,Pave,Reg,Lvl,AllPub,IDOTRR,1.5Fin,5,7,1919,2005,Gable,CompShg,TA,CBlock,793,GasW,TA,N,FuseF,997,520,3,1,0,Normal,115000
20,RL,11751,Pave,IR1,Lvl,AllPub,NWAmes,1Story,6,6,1977,1977,Hip,CompShg,TA,CBlock,1844,GasA,Ex,Y,SBrkr,1844,0,3,1,0,Normal,190000
50,RL,9525,Pave,Reg,Lvl,AllPub,Edwards,1.5Fin,6,4,1954,1972,Gable,CompShg,TA,CBlock,994,GasA,Gd,Y,SBrkr,1216,639,4,1,0,Normal,136900
80,RL,7750,Pave,IR1,Lvl,AllPub,Gilbert,SLvl,7,5,2000,2000,Gable,CompShg,TA,PConc,384,GasA,Ex,Y,SBrkr,774,656,3,1,0,Normal,180000
60,RL,9965,Pave,Reg,Lvl,AllPub,CollgCr,2Story,7,5,2007,2007,Gable,CompShg,Gd,PConc,1264,GasA,Ex,Y,SBrkr,1282,1414,4,1,0,Partial,383970
20,RL,21000,Pave,Reg,Bnk,AllPub,Crawfor,1Story,6,5,1953,1953,Hip,CompShg,TA,CBlock,1809,GasA,TA,Y,SBrkr,2259,0,3,1,0,Abnorml,217000
70,RL,7259,Pave,IR1,Lvl,AllPub,Crawfor,2Story,6,8,1945,2002,Gambrel,CompShg,TA,CBlock,1028,GasA,Ex,Y,SBrkr,1436,884,3,1,0,Normal,259500
160,FV,3230,Pave,Reg,Lvl,AllPub,Somerst,2Story,6,5,1999,1999,Gable,CompShg,TA,PConc,729,GasA,Gd,Y,SBrkr,729,729,2,1,0,Normal,176000
20,RL,11616,Pave,Reg,Lvl,AllPub,Sawyer,1Story,5,5,1962,1962,Gable,CompShg,TA,CBlock,1092,GasA,TA,Y,SBrkr,1092,0,3,1,0,Normal,139000
20,RL,8536,Pave,Reg,Lvl,AllPub,Edwards,1Story,5,5,2006,2007,Gable,CompShg,TA,PConc,1125,GasA,Gd,Y,SBrkr,1125,0,2,1,0,Partial,155000
60,RL,12376,Pave,Reg,Lvl,AllPub,SawyerW,2Story,7,5,1990,1990,Hip,CompShg,TA,PConc,1673,GasA,Gd,Y,SBrkr,1699,1523,5,1,0,Normal,320000
60,RL,8461,Pave,Reg,Lvl,AllPub,CollgCr,2Story,6,5,2005,2006,Gable,CompShg,Gd,PConc,728,GasA,Ex,Y,SBrkr,728,728,3,1,0,Partial,163990
80,RL,21453,Pave,IR1,Low,AllPub,ClearCr,SLvl,6,5,1969,1969,Flat,Metal,TA,CBlock,938,GasA,Ex,Y,SBrkr,988,0,1,1,0,Normal,180000
50,RM,6060,Pave,Reg,Lvl,AllPub,IDOTRR,1.5Fin,4,5,1939,1950,Gable,CompShg,TA,PConc,732,GasA,Gd,Y,SBrkr,772,351,3,1,0,Normal,100000
20,RL,9464,Pave,Reg,Lvl,AllPub,NAmes,1Story,6,7,1958,1958,Hip,CompShg,TA,CBlock,1080,GasA,Gd,Y,SBrkr,1080,0,3,1,0,Normal,136000
120,RL,7892,Pave,Reg,Lvl,AllPub,SawyerW,1Story,6,5,1993,1993,Gable,CompShg,Gd,PConc,1199,GasA,Ex,Y,SBrkr,1199,0,2,1,0,Normal,153900
20,RL,17043,Pave,IR1,Lvl,AllPub,NWAmes,1Story,6,5,1979,1998,Gable,CompShg,TA,CBlock,1362,GasA,TA,Y,SBrkr,1586,0,3,1,0,Normal,181000
190,RM,6780,Pave,Reg,Lvl,AllPub,IDOTRR,1.5Fin,6,8,1935,1982,Gable,CompShg,TA,CBlock,520,GasA,Gd,N,SBrkr,520,0,2,1,0,Normal,84500
120,RL,4928,Pave,IR1,Lvl,AllPub,NPkVill,1Story,6,5,1976,1976,Gable,CompShg,TA,CBlock,1078,GasA,TA,Y,SBrkr,958,0,2,1,0,Normal,128000
45,RM,4388,Pave,IR1,Bnk,AllPub,OldTown,1.5Unf,5,7,1930,1950,Gable,CompShg,TA,BrkTil,672,GasA,Ex,Y,SBrkr,840,0,3,1,0,Normal,87000
60,RL,7590,Pave,Reg,Lvl,AllPub,NAmes,2Story,6,5,1966,1966,Gable,CompShg,TA,CBlock,660,GasA,TA,Y,SBrkr,660,688,3,1,0,Normal,155000
20,RL,8973,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,7,1958,1991,Gable,CompShg,TA,CBlock,1008,GasA,TA,Y,FuseA,1053,0,3,1,0,Abnorml,150000
60,RL,14200,Pave,Reg,Lvl,AllPub,NAmes,2Story,7,6,1966,1966,Gable,CompShg,TA,CBlock,924,GasA,Ex,Y,SBrkr,1216,941,4,1,0,Normal,226000
60,RL,12224,Pave,IR1,Lvl,AllPub,Gilbert,2Story,6,5,2000,2000,Gable,CompShg,Gd,PConc,992,GasA,Ex,Y,SBrkr,1022,1032,3,1,0,Normal,244000
20,RL,7388,Pave,Reg,Lvl,AllPub,NAmes,1Story,5,6,1959,2002,Gable,CompShg,TA,CBlock,1063,GasA,Gd,Y,SBrkr,1327,0,3,1,0,Normal,150750
20,RL,6853,Pave,IR1,Lvl,AllPub,Timber,1Story,8,5,2001,2002,Gable,CompShg,Gd,PConc,1267,GasA,Ex,Y,SBrkr,1296,0,2,1,0,Normal,220000
20,RL,10335,Pave,IR1,Lvl,AllPub,Sawyer,1Story,5,6,1968,1993,Gable,CompShg,TA,CBlock,1461,GasA,Gd,Y,SBrkr,1721,0,3,1,0,Normal,180000
20,RL,10400,Pave,Reg,Lvl,AllPub,NWAmes,1Story,7,6,1970,1970,Hip,CompShg,TA,PConc,1304,GasA,Gd,Y,SBrkr,1682,0,3,1,0,Normal,174000
